phrase,times,notes
"Fallback 11:00;18:00",11:00;18:00,fallback
"Split times 07:00;19:00",07:00;19:00,split
"Recurring daily 09:00",09:00,recurring
"Weekly Monday 09:00",09:00,recurring
"Monthly 1st 09:00",09:00,recurring
"Quarterly 10:00",10:00,recurring
"Yearly 12:00",12:00,recurring
"Cron expression at 00:00",00:00,cron
"EU time 13:00 CET",13:00,tz
"UK time 14:00 BST",14:00,tz
"US time 09:00 EST",09:00,tz
"AU time 08:00 AEST",08:00,tz
"IN time 11:30 IST",11:30,tz
"CN time 09:00 CST",09:00,tz
"JP time 15:00 JST",15:00,tz
"KR time 16:00 KST",16:00,tz
"BR time 18:00 BRT",18:00,tz
"ZA time 12:00 SAST",12:00,tz
"AE time 10:00 GST",10:00,tz
"IL time 14:00 IST",14:00,tz
"PH time 09:00 PHT",09:00,tz
"NZ time 07:00 NZST",07:00,tz
"MX time 17:00 CST",17:00,tz
"AR time 20:00 ART",20:00,tz
"CL time 19:00 CLT",19:00,tz
"PE time 18:00 PET",18:00,tz
"CO time 16:00 COT",16:00,tz
"VE time 15:00 VET",15:00,tz
"EG time 11:00 EET",11:00,tz
"MA time 12:00 WET",12:00,tz
"NG time 09:00 WAT",09:00,tz
"GH time 10:00 GMT",10:00,tz
"CI time 11:00 GMT",11:00,tz
"DZ time 08:00 WAT",08:00,tz
"TN time 07:00 CET",07:00,tz
"SN time 06:00 GMT",06:00,tz
"DJ time 05:00 EAT",05:00,tz
"ET time 04:00 EAT",04:00,tz
"KT time 03:00 KGT",03:00,tz
"UZ time 02:00 UZT",02:00,tz
"KG time 01:00 KGT",01:00,tz
"TJ time 00:00 TJT",00:00,tz
"MD time 23:00 EET",23:00,tz
"BY time 22:00 MSK",22:00,tz
"UA time 21:00 EET",21:00,tz
"PL time 20:00 CEST",20:00,tz
"CZ time 19:00 CEST",19:00,tz
"SK time 18:00 CEST",18:00,tz
"HU time 17:00 CEST",17:00,tz
"RO time 16:00 EET",16:00,tz
"BG time 15:00 EET",15:00,tz
"GR time 14:00 EET",14:00,tz
"TR time 13:00 TRT",13:00,tz
"CY time 12:00 EET",12:00,tz
"IS time 11:00 GMT",11:00,tz
"LU time 10:00 CET",10:00,tz
"LI time 09:00 CET",09:00,tz
"MC time 08:00 CET",08:00,tz
"SM time 07:00 CET",07:00,tz
"VA time 06:00 CET",06:00,tz
"AD time 05:00 CET",05:00,tz
"AL time 04:00 CET",04:00,tz
"MK time 03:00 CET",03:00,tz
"RS time 02:00 CET",02:00,tz
"ME time 01:00 CET",01:00,tz
"BA time 00:00 CET",00:00,tz
"HR time 22:00 CET",22:00,tz
"SI time 21:00 CET",21:00,tz
"LV time 20:00 EET",20:00,tz
"LT time 19:00 EET",19:00,tz
"EE time 18:00 EET",18:00,tz
"FI time 17:00 EET",17:00,tz
"SE time 16:00 CET",16:00,tz
"NO time 15:00 CET",15:00,tz
"DK time 14:00 CET",14:00,tz
"IS time 13:00 GMT",13:00,tz
"PT time 12:00 WET",12:00,tz
"ES time 11:00 CET",11:00,tz
"FR time 10:00 CET",10:00,tz
"BE time 09:00 CET",09:00,tz
"NL time 08:00 CET",08:00,tz
"DE time 07:00 CET",07:00,tz
"AT time 06:00 CET",06:00,tz
"CH time 05:00 CET",05:00,tz
"LI time 04:00 CET",04:00,tz
"CZ time 03:00 CET",03:00,tz
"HU time 02:00 CET",02:00,tz
"PL time 01:00 CET",01:00,tz
"SK time 00:00 CET",00:00,tz
"END_OF_FILE_MARKER",,
"logs from 2026-01-21 12:15:30",,negative - ISO timestamp
"2026-01-21T12:15:30Z server started",,negative - ISO Z timestamp
"backup-2026-01-20-030000.log",,negative - filename with timestamp
"error at 2025-12-31T23:59:59",,negative - ISO timestamp
"2026.01.21 12:15:30 entry",,negative - dot date-time
"event_20260121_121530.txt",,negative - embedded timestamp in filename
"snapshot-20260121-1215",,negative - snapshot id with date
"build-20260121.121530",,negative - build id
"log: 2026-01-21 12:15:30, INFO",,negative - log line
"2026/01/21 12:15:30 error",,negative - slash format timestamp
"2026-01-21 12:15",,negative - ISO without seconds
"2026-01-21 12:15:30.123456",,negative - high-precision ISO
"2026-01-21T12:15:30+01:00 action",,negative - offset
"2026-01-21T12:15:30-05:00 something",,negative - offset negative
"20260121T121530Z started",,negative - compact ISO
"12/15/2026 12:15:30 log",,negative - US-style datetime
"15-12-2026 12:15:30 entry",,negative - EU-style datetime
"Fri Jan 21 12:15:30 2026",,negative - rfc-like timestamp
"Mon Jan 21 12:15:30 CST",,negative - timezone word
"2026-01-21 12:15:30, PID=1234",,negative - log with pid
"audit 2026-01-21T12:15:30Z",,negative - audit ISO
"UTC 2026-01-21T12:15:30Z",,negative - utc timestamp
"2026-01-21T12:15:30.000Z",,negative - zulu
"timestamp: 2026-01-21T12:15:30Z",,negative - labeled timestamp
"last_modified: 2026-01-21 12:15:30",,negative - file metadata
"created_at: 2026-01-21T12:15:30Z",,negative - created time
"updated: 2026-01-21T12:15:30+02:00",,negative - updated with offset
"Processed on 2026-01-21 12:15:30",,negative - processed log
"ISO8601 2026-01-21T12:15:30Z example",,negative - ISO8601
"logged 2026-01-21 12:15:30 by user",,negative - log example
"EventID: 20260121-121530",,negative - event id
"report_2026-01-21T12-15-30.csv",,negative - report filename
"backup_20260121_1215.tar.gz",,negative - backup name
"systemd[1]: 2026-01-21T12:15:30Z started",,negative - systemd log
"kernel: [2026-01-21 12:15:30] panic",,negative - kernel like log
"2026-01-21_12-15-30.dump",,negative - dump file
"access_log: 2026-01-21 12:15:30 GET /",,negative - web log
"2026-01-21T12:15:30Z - connection from 10.0.0.1",,negative - connection log
"2026-01-21 12:15:30.999 UTC action",,negative - fractional seconds
"snapshot@2026-01-21T12:15:30Z",,negative - tag with ISO
"event#20260121T121530",,negative - event hash
"build 2026-01-21-121530",,negative - build tag
"release_2026_01_21_121530",,negative - release id
"log.2026-01-21.121530.gz",,negative - rotated log
"rotation: 2026-01-21T12:15:30Z",,negative - rotation timestamp
"16:9 aspect ratio",,negative - aspect ratio
"Aspect ratio 4:3",,negative - aspect ratio
"ratio of 16:9",,negative - aspect ratio phrase
"16 by 9",,negative - aspect expressed
"width 1920 height 1080",,negative - resolution
"1920x1080 image",,negative - resolution format
"3840x2160 16:9",,negative - 4k res
"resolution 1280x720",,negative - resolution
"image size 800x600",,negative - resolution
"screen 2560×1440",,negative - resolution unicode x
"aspect 2:1",,negative - aspect ratio numeric
"ratio 3:2 photography",,negative - aspect ratio
"video 16:9 cropped",,negative - video aspect
"film aspect 2.39:1",,negative - film ratio
"frame 4:3 legacy",,negative - frame ratio
"thumbnail 1:1",,negative - square ratio
"poster 27:40 ratio",,negative - odd ratio
"dimension 1200x627",,negative - social media res
"exactly 00:30",,negative - duration HH:MM
"duration 00:30:00",,negative - hh:mm:ss duration
"elapsed 00:30",,negative - mm:ss elapsed
"run time 00:30:15",,negative - runtime
"uptime 72:00:00",,negative - uptime
"process took 00:00:10",,negative - seconds duration
"latency 00:00:00.250",,negative - fractional duration
"timeout 00:05:00",,negative - timeout duration
"TTL 00:10:00",,negative - TTL
"timeout=00:15",,negative - parameter style
"timer=30s",,negative - short duration
"timer 30s",,negative - seconds
"wait 10s",,negative - seconds mention
"countdown 00:00:30",,negative - countdown
"duration_ms: 30000",,negative - ms duration
"elapsed_ms=1500",,negative - ms field
"session_length 00:45:00",,negative - session length
"duration: 45m",,negative - minutes unit
"approx 30 minutes",,negative - approximate duration
"for 2 hours",,negative - duration hours
"spent 1h 30m",,negative - duration shorthand
"took 1h30m",,negative - compact duration
"run: 2h",,negative - duration hours
"uptime: 4d 03:00:00",,negative - days and time
"downtime 00:10:00",,negative - downtime
"lag 00:00:05",,negative - lag
"delay 500ms",,negative - milliseconds
"delay 5ms",,negative - milliseconds
"sleep 1s",,negative - sleep command
"gc pause 0.002s",,negative - pause seconds
"jitter 0.025s",,negative - jitter
"Code 12:00",,negative - code-like with colon
"ID: 12:00:3456",,negative - id with colon
"Label12:00value",,negative - colon inside token
"token:12:00:abcd",,negative - token-like
"Ref 12:00-err",,negative - code with colon and dash
"mask 12:00:00:FF",,negative - mac-like pattern with colon
"timecode 01:23:45:12",,negative - timecode format (non-detection)
"v1.2.3",,negative - semver
"version 2.0",,negative - version
"Release 2026.1.0",,negative - release numbering
"build 1234",,negative - build id
"commit 7a9c2d4e",,negative - commit short hash
"SHA-1: 7a9c2d4e5f6a",,negative - commit
"tag v2.0.0-beta",,negative - tag
"app-2.1.0",,negative - app version
"firmware 3.5.1",,negative - firmware
"patch 4.4.0-rc1",,negative - release candidate
"revision 12.00",,negative - decimal revision
"ver=12.0.1",,negative - parameter version
"module v0.9",,negative - module version
"api v3",,negative - api version
"schema 2026-01-01",,negative - schema version date
"IP 192.168.1.1",,negative - ip
"10.0.0.5:8080 connection",,negative - ip with port
"127.0.0.1:5000",,negative - localhost port
"[fe80::1ff:fe23:4567:890a]",,negative - ipv6
"fe80::1:2:3:4",,negative - ipv6 short
"2001:db8::ff00:42:8329",,negative - ipv6
"MAC 00:1A:2B:3C:4D:5E",,negative - mac
"MAC: 01-23-45-67-89-ab",,negative - mac dash
"eth0: 192.168.1.10",,negative - interface ip
"port 8080 open",,negative - port
"listening on :443",,negative - listening port shorthand
"bind 0.0.0.0:80",,negative - server bind
"connection from 203.0.113.5",,negative - external ip
"socket 127.0.0.1:22",,negative - socket
"Service on 443",,negative - port phrasing
"Port 22 closed",,negative - port status
"SSH on port 22",,negative - service/port
"HTTP 200 OK",,negative - http status
"HTTP/1.1 404 Not Found",,negative - http response
"status 503 Service Unavailable",,negative - http code
"Error 500 Internal Server Error",,negative - http error
"Response 301 Moved Permanently",,negative - http code
"Status: 204",,negative - http code short
"503 Service",,negative - http code fragment
"status=200",,negative - key-value http
"rc=0",,negative - return code
"exit 1",,negative - process exit
"exit code 2",,negative - exit code
"code 127",,negative - shell error
"errno 22",,negative - errno
"signal 9",,negative - kill signal
"SIGTERM received",,negative - signal
"SIGKILL 9",,negative - signal numeric
"PID 12345",,negative - process id
"uid=1000 gid=1000",,negative - unix ids
"user id 501",,negative - user id
"group 20",,negative - group
"Score 3:2 final",,negative - sports score
"Match ended 2-1",,negative - score
"Set 3-2 in tennis",,negative - set score
"won 6-4 6-3",,negative - tennis result
"Result 4-3",,negative - result
"Final score 1:0",,negative - score colon
"3-2 (pen)",,negative - soccer penalty score
"Series 4-2",,negative - best-of series
"45-30 tennis",,negative - tennis notation
"15-0 volley",,negative - volleyball scoring
"Goals: 2:1",,negative - goals summary
"2:1 aggregate",,negative - aggregate score
"Point 21-19",,negative - badminton
"ratio 16:9",,negative - ratio short
"aspect 4:3",,negative - aspect short
"scale 1:100",,negative - scale ratio
"magnification 40x",,negative - times multiplier
"zoom 2x",,negative - multiplier
"factor 3x",,negative - multiplier
"dimensions 100x200",,negative - dimension x
"cloth 2x stretch",,negative - product spec
"size L, 2XL",,negative - sizes
"quantity x10",,negative - multiplier notation
"units x5",,negative - units multiplier
"k9x9 matrix",,negative - math expression
"matrix 4x4",,negative - math
"aspect(16,9)",,negative - code func
"ratio(3,2)",,negative - code style ratio
"16.9% growth",,negative - percent with dot
"growth 16.9%",,negative - percent decimal
"discount 20%",,negative - percent
"VAT 7%",,negative - tax
"rate 4.5% APR",,negative - finance rate
"interest 3%",,negative - finance
"ROI 12%",,negative - finance
"balance 1000.00",,negative - monetary numeric
"$14.99",,negative - price
"€9.50",,negative - price
"£5.00",,negative - price
"JPY 10000",,negative - currency code
"USD 1,000",,negative - formatted currency
"price 19.99 EUR",,negative - price with currency
"cost 1200.00",,negative - cost
"fee 2.50",,negative - fee
"tax 12.00",,negative - tax amount
"Charge $45",,negative - charge
"total: 1000",,negative - total
"qty: 30",,negative - quantity
"pieces 20",,negative - pieces
"batch 400",,negative - batch id
"lot number 123A",,negative - lot
"serial SN000123",,negative - serial
"sku 12345",,negative - sku
"asin B08XYZ",,negative - asin
"ean 4006381333931",,negative - ean
"isbn 9783161484100",,negative - isbn digits
"ISSN 1234-5678",,negative - issn
"VIN 1HGCM82633A004352",,negative - vin
"model 320i",,negative - model number
"product 42-B",,negative - product code
"order #1001",,negative - order id
"Order 1001 shipped",,negative - order update
"invoice #5555",,negative - invoice
"invoice 2026-01-21",,negative - invoice with date
"receipt 00012345",,negative - receipt
"txn id 0xA1B2C3",,negative - transaction id
"tx 0xa1b2c3d4",,negative - hex tx
"wallet 0xABCDEF",,negative - wallet id
"eth tx 0x1234",,negative - eth tx
"gas price 20 gwei",,negative - crypto metric
"block 1234567",,negative - blockchain block
"hash 0000000000000000000",,negative - blockchain hash
"chain height 700000",,negative - chain height
"commit abcdef1",,negative - commit short
"merge commit 1a2b3c",,negative - merge
"PR #123 merged",,negative - pr reference
"Issue #404 reopened",,negative - issue id
"ticket #9876",,negative - ticket
"bug id 4321",,negative - bug id
"task 777",,negative - task id
"story 321",,negative - agile id
"epic 100",,negative - epic id
"sprint 42",,negative - sprint number
"release 2026.01",,negative - release
"milestone v2",,negative - milestone
"milestone 3.0",,negative - milestone
"phase 2",,negative - phase
"stage 1",,negative - stage
"section 3.2",,negative - document section
"chapter 4",,negative - chapter
"page 42 of 200",,negative - page reference
"page 15",,negative - page short
"line 123",,negative - line number
"row 456",,negative - row
"column 7",,negative - column
"cell B12",,negative - spreadsheet cell
"sheet1!A1",,negative - sheet cell
"A1:B10",,negative - range cell
"range 10-20",,negative - numeric range
"pages 10-12",,negative - page range
"vol 2",,negative - volume
"issue 7",,negative - journal issue
"edition 3rd",,negative - edition
"season 2 episode 5",,negative - tv notation
"s01e05",,negative - season episode
"S02E10",,negative - season episode caps
"EP 05",,negative - episode short
"track 12",,negative - track number
"disc 1",,negative - disc
"disk 2",,negative - disk
"part 3",,negative - part
"section 5.4",,negative - subsection
"clause 12.3",,negative - contract clause
"subsection 7a",,negative - subsection
"annex A",,negative - annex
"appendix B",,negative - appendix
"figure 3.2",,negative - figure ref
"table 4",,negative - table ref
"note 1",,negative - note id
"footnote 2",,negative - footnote
"ref [12]",,negative - bibliography ref
"doi 10.1000/xyz123",,negative - doi
"arXiv:2101.00001",,negative - arxiv id
"PMID 12345678",,negative - pubmed
"ISSN 1234-5678",,negative - issn again
"ISBN 978-1-4028-9462-6",,negative - isbn formatted
"chapter 7.1.2",,negative - nested section
"paragraph 4.3.2",,negative - paragraph
"subpara (a)",,negative - subparagraph
"Annex III",,negative - annex roman
"Schedule A",,negative - schedule
"Schedule 2",,negative - schedule num
"Agenda item 5",,negative - agenda
"item 3(b)",,negative - agenda item
"Line item 7",,negative - line item
"PO #12345",,negative - purchase order
"PO-1001",,negative - purchase order
"RFQ 2026-001",,negative - rfq
"RFP 2026-02",,negative - rfp
"SOW v1.0",,negative - statement of work
"Contract #C-2026",,negative - contract
"Agreement 12.00",,negative - agreement number
"MOU signed 2026-01-20",,negative - mou
"NDA expires 2026-12-31",,negative - nda date
"License key ABCD-1234",,negative - license
"serial 00-11-22",,negative - serial format
"asset tag 12345",,negative - asset
"asset id AS-999",,negative - asset id
"inventory SKU-100",,negative - inventory
"warehouse ID W-12",,negative - warehouse
"dock 3b",,negative - dock id
"bay 5",,negative - bay
"pallet 00123",,negative - pallet
"container 42A",,negative - container
"tracking #TRK123",,negative - tracking
"AWB 123-45678901",,negative - airway bill
"BL 987654",,negative - bill of lading
"manifest 2026-01-20",,negative - manifest
"packing list 1001",,negative - packing list
"barcode 012345678905",,negative - barcode
"qr code 00112233",,negative - qr
"ean13 4006381333931",,negative - ean13
"upc 036000291452",,negative - upc
"lot 1234A",,negative - lot
"expiry 2026-10-01",,negative - expiry date
"mfg 2024-05-12",,negative - manufacture date
"best before 2026-12-31",,negative - best before
"use by 2027-01-01",,negative - use by
"BB 2026/12/31",,negative - bb format
"MFG:2024-05-12",,negative - mfg label
"EOL 2027-06-30",,negative - end of life
"EoL 2027",,negative - eol simple
"support until 2028-01-01",,negative - support end
"warranty until 2026-12-31",,negative - warranty end
"warranty 2 years",,negative - warranty period
"warranty 24 months",,negative - months
"return by 30 days",,negative - return window
"grace period 60 days",,negative - grace period
"trial 14 days",,negative - trial length
"subscription monthly",,negative - subscription cadence
"billing cycle 30d",,negative - billing cycle
"renewal 2026-01-01",,negative - renewal date
"cancel by 2026-02-01",,negative - cancel date
"opt-in ends 2026-01-31",,negative - opt-in
"promo live 00:00",,negative - promo launch time-like but price context
"sale starts 09:00 01/01",,negative - sale timestamp-like but marketing
"early bird until 23:59",,negative - promo deadline
"promo code SAVE20",,negative - promo code
"coupon 123ABC",,negative - coupon
"voucher 50OFF",,negative - voucher
"giftcard 100EUR",,negative - giftcard
"balance EUR 100",,negative - gift balance
"wallet balance 0.005 BTC",,negative - crypto balance
"market cap 1.2B",,negative - finance
"shares 1000",,negative - shares
"ticker AAPL 150.25",,negative - stock ticker
"NYSE: AAPL 150.25",,negative - ticker with price
"PX 150.25",,negative - price indicator
"Ask 151.00 Bid 149.50",,negative - market spread
"volume 2,000,000",,negative - volume
"market open 09:30",,negative - market open (finance but time-like)
"market close 16:00",,negative - market close (finance context)
"trading halt 13:00",,negative - trading context time-like
"earnings call 07:00",,negative - finance event (context)
"dividend record date 2026-02-01",,negative - finance date
"ex-dividend 2026-02-02",,negative - ex-dividend date
"split effective 00:00",,negative - split time-like
"IPO date 2026-03-15",,negative - ipo date
"lock-up 180 days",,negative - lockup duration
"vesting 4 years",,negative - vesting period
"cliff 1 year",,negative - vesting cliff
"grant 2026-01-15",,negative - grant date
"stock option 10.00 strike",,negative - option strike price
"strike 10.00",,negative - strike
"strike price 12.00",,negative - money
"unit price 2.00",,negative - per-unit price
"mrp 9.99",,negative - price label
"msrp $19.99",,negative - msrp
"list price 25.00",,negative - list price
"net price 20.00",,negative - net price
"gross 25.00",,negative - gross
"tax included 23.00",,negative - tax included
"shipping fee 5.00",,negative - shipping
"freight 30.00",,negative - freight
"handling 2.50",,negative - handling
"insurance 1.00",,negative - insurance
"total cost $100.00",,negative - total cost
"profit margin 20%",,negative - margin
"gross margin 40%",,negative - margin
"net income 1000",,negative - income
"EBITDA 5000",,negative - finance metric
"NOPAT 2000",,negative - finance metric
"SG&A 300",,negative - accounting
"COGS 700",,negative - cogs
"operating income 400",,negative - op income
"capital expenditure 10000",,negative - capex
"CAPEX 10000",,negative - capex caps
"depreciation 200",,negative - depreciation
"amortization 100",,negative - amort
"EBIT 800",,negative - ebit
"EPS 1.23",,negative - eps
"PE ratio 15.2",,negative - pe ratio
"beta 1.05",,negative - beta
"alpha 0.2",,negative - alpha
"Sharpe 0.75",,negative - sharpe
"Sortino 1.2",,negative - sortino
"drawdown -10%",,negative - drawdown
"max drawdown -30%",,negative - max draw
"VaR 5%",,negative - var
"CVaR 7%",,negative - cvar
"Sharpe ratio 0.75",,negative - ratio
"IRR 12%",,negative - irr
"NPV 10000",,negative - npv
"payback 2 years",,negative - payback
"Discount rate 8%",,negative - discount
"WACC 7%",,negative - wacc
"EBITDA margin 20%",,negative - margin
"gross profit 1000",,negative - profit
"operating margin 10%",,negative - margin
"net margin 5%",,negative - margin
"revenue 100000",,negative - revenue
"sales 25000",,negative - sales
"orders 100",,negative - orders
"tickets 500",,negative - tickets
"visits 2000",,negative - analytics
"sessions 1500",,negative - analytics
"bounce rate 50%",,negative - analytics
"avg time on site 00:02:30",,negative - analytics duration
"conversion rate 2%",,negative - analytics
"CTR 0.5%",,negative - analytics
"impressions 100000",,negative - analytics
"clicks 500",,negative - analytics
"unique visitors 3000",,negative - analytics
